anno,dataset,n_istituzioni_dataset,n_match_anagrafica,n_senza_anagrafica,quota_match_anagrafica
2021,OCCUPAZIONE,10457,10457,0,1
2021,ASSUNTI,6312,6312,0,1
2021,CESSATI,6965,6965,0,1
2021,ETA_MEDIA,10456,10456,0,1
2021,FORMAZIONE,6677,6677,0,1
2021,COSTO_LAVORO,10922,10922,0,1
2022,OCCUPAZIONE,10520,10520,0,1
2022,ASSUNTI,6566,6566,0,1
2022,CESSATI,7010,7010,0,1
2022,ETA_MEDIA,10515,10515,0,1
2022,FORMAZIONE,7166,7166,0,1
2022,COSTO_LAVORO,10986,10986,0,1
2023,OCCUPAZIONE,10636,10636,0,1
2023,ASSUNTI,6445,6445,0,1
2023,CESSATI,6675,6673,2,0.9997003745318352
2023,ETA_MEDIA,10627,10627,0,1
2023,FORMAZIONE,7537,7537,0,1
2023,COSTO_LAVORO,11096,11096,0,1
